NO,PTN,KODE PRODI,NAMA PRODI,RATAAN,S.BAKU,MIN,MAX,type
414,UNIVERSITAS BRAWIJAYA,3721321.0,KEBIDANAN,612.04,15.93,592.17,644.26,science
415,INSTITUT PERTANIAN BOGOR,3411466.0,ILMU KELUARGA DAN KONSUMEN,610.1,20.07,592.1,694.24,humanities
416,UNIVERSITAS JENDERAL SOEDIRMAN,3511042.0,FISIKA,607.71,15.12,591.88,656.34,science
417,UNIVERSITAS DIPONEGORO,3551035.0,KEPERAWATAN,613.51,16.06,591.61,663.52,science
418,UNIVERSITAS NEGERI SEMARANG,3561246.0,SISTEM INFORMASI,602.64,9.27,591.47,621.27,science
419,UPN VETERAN JAWA TIMUR,3851093,TEKNIK LINGKUNGAN,606.8,11.66,591.45,640.67,science
420,UNIVERSITAS TANJUNGPURA,5111215.0,FARMASI,610.24,16.47,591.26,656.97,science
421,INSTITUT PERTANIAN BOGOR,3411153.0,MANAJEMEN HUTAN,605.75,13.72,591.24,654.73,humanities
422,UNIVERSITAS SRIWIJAYA,1711036.0,TEKNIK KIMIA,614.56,17.55,591.23,664.63,science
423,UPN VETERAN JAWA TIMUR,3851046,TEKNIK INDUSTRI,606.17,12.42,591.09,650.44,science
424,UNIVERSITAS SUMATERA UTARA,1211232.0,ILMU KOMPUTER,614.91,21.48,590.95,674.5,science
425,UNIVERSITAS BRAWIJAYA,3721271.0,AGRIBISNIS,607.85,14.98,590.9,702.94,humanities
426,UNIVERSITAS SEBELAS MARET,3531182.0,PENDIDIKAN FISIKA,603.93,10.12,590.86,628.66,science
427,UNIVERSITAS SRIWIJAYA,1711326.0,FARMASI,610.08,17.77,590.68,659.26,science
428,UNIVERSITAS ISLAM NEGERI JAKARTA,3221041.0,MATEMATIKA,605.29,12.9,590.56,652.03,science
429,UNIVERSITAS AIRLANGGA,3811076.0,FISIKA,604.43,10.09,590.54,629.14,science
430,UNIVERSITAS AIRLANGGA,3811061.0,BIOLOGI,615.27,26.34,590.48,726.74,science
431,UPN VETERAN JAWA TIMUR,3851104,TEKNIK SIPIL,605.19,12.73,590.39,638.53,science
432,INSTITUT PERTANIAN BOGOR,3411281.0,NUTRISI DAN TEKNOLOGI PAKAN,612.14,21.29,590.26,692.1,science
433,UNIVERSITAS JENDERAL SOEDIRMAN,3511011.0,BIOLOGI,604.18,13.61,590.21,649.08,science
434,UNIVERSITAS PADJADJARAN,3331133.0,ILMU KELAUTAN,611.53,17.39,590.16,665.4,science
435,UNIVERSITAS NEGERI SURABAYA,3831011.0,PEND. MATEMATIKA,610.65,18.85,590.12,659.5,science
436,UNIVERSITAS DIPONEGORO,3551124.0,AKUAKULTUR,605.36,19.32,590.04,740.78,science
437,UNIVERSITAS PENDIDIKAN INDONESIA,3341046.0,PENDIDIKAN KIMIA,604.75,11.51,590.02,634.08,science
438,UNIVERSITAS SUMATERA UTARA,1211062.0,TEKNIK KIMIA,609.41,17.63,589.72,681.91,science
439,UNIVERSITAS NEGERI MALANG,3731033.0,PENDIDIKAN KIMIA,604.08,13.0,589.62,638.72,science
440,UNIVERSITAS SRIWIJAYA,1711021.0,TEKNIK PERTAMBANGAN,608.92,15.23,589.51,652.66,science
441,UPN VETERAN JAKARTA,3241014,TEKNIK MESIN,606.25,12.35,589.49,639.43,science
442,UNIVERSITAS NEGERI SEMARANG,3561126.0,BIOLOGI,600.51,11.74,589.49,641.03,science
443,UNIVERSITAS UDAYANA,6111223.0,FISIOTERAPI,615.03,17.81,589.34,658.4,science
444,UPN VETERAN JAWA TIMUR,3851077,SISTEM INFORMASI,602.88,11.91,589.27,642.95,science
445,UNIVERSITAS NEGERI SEMARANG,3561134.0,KESEHATAN MASYARAKAT,604.65,11.64,588.94,635.74,science
446,UNIVERSITAS NEGERI SURABAYA,3831073.0,KIMIA,604.15,12.74,588.84,627.1,science
447,UNIVERSITAS UDAYANA,6111022.0,KEDOKTERAN HEWAN,610.27,27.36,588.55,731.56,science
448,UNIVERSITAS NEGERI JAKARTA,3231035.0,PENDIDIKAN KIMIA,605.77,15.7,588.24,638.48,science
449,UNIVERSITAS JENDERAL SOEDIRMAN,3511177.0,AGRIBISNIS,601.3,13.05,587.8,639.5,humanities
450,UPN VETERAN YOGYAKARTA,3631094,AGROTEKNOLOGI,600.47,11.11,587.8,641.18,science
451,UNIVERSITAS ISLAM NEGERI JAKARTA,3221087.0,KESEHATAN MASYARAKAT,604.09,13.59,587.7,640.22,science
452,UNIVERSITAS PENDIDIKAN INDONESIA,3341112.0,PENDIDIKAN TEKNIK ARSITEKTUR,604.32,14.48,587.66,643.24,humanities
453,UNIVERSITAS PENDIDIKAN INDONESIA,3341023.0,PENDIDIKAN FISIKA,604.86,14.93,587.36,659.98,science
454,UNIVERSITAS TIDAR,3521021.0,TEKNIK SIPIL,598.97,8.35,587.19,623.67,science
455,UNIVERSITAS NEGERI SEMARANG,3561196.0,TEKNIK MESIN,601.09,11.82,587.04,632.7,science
456,UNIVERSITAS UDAYANA,6111045.0,TEKNIK SIPIL,607.84,18.62,586.97,666.01,science
457,UNIVERSITAS NEGERI JAKARTA,3231043.0,PENDIDIKAN BIOLOGI,598.2,12.39,586.82,641.84,science
458,INSTITUT PERTANIAN BOGOR,3411427.0,SILVIKULTUR,599.96,10.9,586.76,629.56,science
