NO,PTN,KODE PRODI,NAMA PRODI,RATAAN,S.BAKU,MIN,MAX,type
89,UNIVERSITAS RIAU,1311191.0,PEND. DOKTER,658.77,17.44,643.01,720.68,science
90,UNIVERSITAS INDONESIA,3211263.0,KESEHATAN LINGKUNGAN,655.39,10.17,642.77,678.3,science
91,INSTITUT TEKNOLOGI SEPULUH NOPEMBER,3821086.0,TEKNIK KIMIA,669.82,19.95,642.56,727.17,science
92,UNIVERSITAS DIPONEGORO,3551236.0,TEKNIK INDUSTRI,662.06,16.04,642.38,714.4,science
93,UNIVERSITAS GADJAH MADA,3611356.0,TEKNIK GEODESI,663.06,20.62,641.44,747.32,science
94,UNIVERSITAS GADJAH MADA,3611163.0,KIMIA,660.98,20.71,641.3,729.88,science
95,UNIVERSITAS SEBELAS MARET,3531174.0,INFORMATIKA,659.53,17.2,639.86,718.34,science
96,INSTITUT TEKNOLOGI SEPULUH NOPEMBER,3821136.0,ARSITEKTUR,660.33,22.64,639.37,767.21,humanities
97,INSTITUT TEKNOLOGI SEPULUH NOPEMBER,3821032.0,STATISTIKA,659.15,17.82,639.31,724.21,science
98,INSTITUT TEKNOLOGI SEPULUH NOPEMBER,3821314.0,TEKNOLOGI INFORMASI,659.18,17.51,638.99,700.49,science
99,UNIVERSITAS DIPONEGORO,3551171.0,TEKNIK SIPIL,656.18,15.2,638.74,712.13,science
100,INSTITUT TEKNOLOGI SEPULUH NOPEMBER,3821105.0,TEKNIK INDUSTRI,667.42,19.99,638.67,725.73,science
101,UNIVERSITAS INDONESIA,3211294.0,GEOLOGI,654.35,14.27,638.6,702.73,science
102,INSTITUT TEKNOLOGI BANDUNG,3321154.0,FAKULTAS TEKNOLOGI INDUSTRI (FTI) - KAMPUS CIREBON,653.49,14.96,638.5,696.62,science
103,UNIVERSITAS GADJAH MADA,3611213.0,ELEKTRONIKA DAN INSTRUMENTASI,665.27,19.16,638.37,713.91,science
104,INSTITUT TEKNOLOGI BANDUNG,3321131.0,FAKULTAS TEKNIK SIPIL DAN LINGKUNGAN (FTSL) - KAMPUS JATINANGOR,656.61,13.55,638.12,693.83,science
105,UNIVERSITAS GADJAH MADA,3611205.0,GEOFISIKA,657.52,17.33,637.75,700.2,science
106,UNIVERSITAS DIPONEGORO,3551333.0,KEDOKTERAN GIGI,661.94,26.87,637.63,742.02,science
107,INSTITUT TEKNOLOGI SEPULUH NOPEMBER,3821295.0,TEKNIK BIOMEDIK,657.05,16.23,636.9,687.38,science
108,INSTITUT TEKNOLOGI SEPULUH NOPEMBER,3821063.0,TEKNIK MESIN,659.35,16.37,636.7,718.5,science
109,UNIVERSITAS PENDIDIKAN GANESHA,6121217.0,KEDOKTERAN,656.65,24.65,636.54,734.63,science
110,UNIVERSITAS SEBELAS MARET,3531023.0,PSIKOLOGI,652.26,12.63,636.51,685.89,humanities
111,INSTITUT PERTANIAN BOGOR,3411273.0,TEKNOLOGI PANGAN,657.46,18.65,636.42,728.04,science
112,UNIVERSITAS DIPONEGORO,3551205.0,TEKNIK KIMIA,655.57,14.57,636.15,698.9,science
113,UNIVERSITAS INDONESIA,3211062.0,BIOLOGI,657.97,20.27,635.91,708.95,science
114,UNIVERSITAS DIPONEGORO,3551101.0,INFORMATIKA,656.98,17.33,635.62,707.66,science
115,UNIVERSITAS INDONESIA,3211286.0,GEOFISIKA,656.0,15.78,635.5,700.48,science
116,INSTITUT PERTANIAN BOGOR,3411315.0,TEKNIK SIPIL DAN LINGKUNGAN,650.1,9.98,635.39,676.71,science
117,UNIVERSITAS MULAWARMAN,5411211.0,PENDIDIKAN DOKTER,650.57,13.2,635.14,682.35,science
118,UNIVERSITAS GADJAH MADA,3611364.0,TEKNIK GEOLOGI,657.45,20.59,634.99,727.19,science
119,UNIVERSITAS PADJADJARAN,3331164.0,FARMASI,659.09,21.88,634.72,753.46,science
120,UNIVERSITAS JENDERAL SOEDIRMAN,3511131.0,FARMASI,649.13,14.85,634.33,729.52,science
121,UNIVERSITAS AIRLANGGA,3811037.0,PENDIDIKAN APOTEKER,657.01,16.24,634.27,724.26,science
122,UNIVERSITAS BRAWIJAYA,3721247.0,TEKNIK INDUSTRI,650.02,15.56,633.64,699.37,science
123,UNIVERSITAS LAMBUNG MANGKURAT,5311233.0,PENDIDIKAN DOKTER,653.3,17.59,633.45,725.57,science
124,UNIVERSITAS GADJAH MADA,3611461.0,TEKNOLOGI INDUSTRI PERTANIAN,653.8,18.94,633.36,720.78,science
125,UNIVERSITAS BRAWIJAYA,3721182.0,STATISTIKA,649.74,16.77,632.86,713.69,science
126,INSTITUT PERTANIAN BOGOR,3411354.0,ILMU GIZI,650.77,15.28,632.78,690.39,science
127,UNIVERSITAS TANJUNGPURA,5111207.0,PEND. DOKTER,655.37,18.42,632.65,708.53,science
128,UNIVERSITAS UDAYANA,6111262.0,PENDIDIKAN DOKTER GIGI,646.77,11.1,632.59,669.91,science
129,UNIVERSITAS JAMBI,1511146.0,KEDOKTERAN,644.41,9.66,632.42,669.9,science
130,INSTITUT PERTANIAN BOGOR,3411041.0,BIOKIMIA,649.44,18.41,631.93,704.43,science
131,UNIVERSITAS SEBELAS MARET,3531077.0,TEKNIK SIPIL,647.11,11.62,631.88,690.46,science
132,UNIVERSITAS PADJADJARAN,3331067.0,STATISTIKA,656.38,23.99,631.73,738.17,science
133,INSTITUT TEKNOLOGI SEPULUH NOPEMBER,3821094.0,TEKNIK FISIKA,650.02,15.77,631.59,705.3,science
134,UNIVERSITAS GADJAH MADA,3611012.0,BIOLOGI,652.05,17.71,631.44,723.88,science
135,UNIVERSITAS GADJAH MADA,3611051.0,PEMBANGUNAN WILAYAH,654.73,17.49,631.43,691.19,humanities
136,UNIVERSITAS PADJADJARAN,3331141.0,TEKNOLOGI PANGAN,651.11,19.65,631.24,733.32,science
137,INSTITUT TEKNOLOGI SEPULUH NOPEMBER,3821256.0,TEKNIK KOMPUTER,653.27,19.69,630.95,704.1,science
138,UNIVERSITAS GADJAH MADA,3611414.0,TEKNIK NUKLIR,661.84,23.53,630.21,726.07,science
139,UNIVERSITAS INDONESIA,3211085.0,GEOGRAFI,645.62,12.87,629.84,694.27,science
140,UNIVERSITAS BRAWIJAYA,3721255.0,TEKNIK INFORMATIKA,646.77,14.48,629.77,685.55,science
141,UNIVERSITAS BRAWIJAYA,3721367.0,SISTEM INFORMASI,644.45,12.84,629.63,699.99,science
142,UNIVERSITAS ANDALAS,1411064.0,PENDIDIKAN DOKTER GIGI,644.4,11.36,629.58,669.15,science
143,UNIVERSITAS BRAWIJAYA,3721336.0,FARMASI,649.23,18.48,629.28,708.74,science
144,UNIVERSITAS SEBELAS MARET,3531112.0,TEKNIK KIMIA,642.97,11.54,629.27,675.25,science
145,UNIVERSITAS PADJADJARAN,3331036.0,KIMIA,645.6,13.13,629.08,693.16,science
146,UNIVERSITAS INDONESIA,3211197.0,TEKNIK PERKAPALAN,645.84,15.92,629.01,680.35,science
147,UNIVERSITAS DIPONEGORO,3551213.0,TEKNIK ELEKTRO,648.29,18.0,629.0,700.64,science
148,UNIVERSITAS GADJAH MADA,3611155.0,FISIKA,652.38,27.56,628.8,766.11,science
149,UNIVERSITAS GADJAH MADA,3611043.0,KARTOGRAFI DAN PENGINDERAAN JAUH,653.27,24.97,628.7,755.56,science
150,UNIVERSITAS DIPONEGORO,3551186.0,ARSITEKTUR,646.76,15.94,628.64,701.26,humanities
151,INSTITUT PERTANIAN BOGOR,3411443.0,MATEMATIKA,644.66,15.37,628.51,692.99,science
152,UNIVERSITAS DIPONEGORO,3551097.0,STATISTIKA,646.44,15.13,628.28,704.09,science
153,UNIVERSITAS SEBELAS MARET,3531271.0,FARMASI,647.24,12.56,628.03,670.67,science
154,INSTITUT TEKNOLOGI SEPULUH NOPEMBER,3821113.0,TEKNIK MATERIAL,648.4,17.69,627.85,708.98,science
155,UNIVERSITAS SEBELAS MARET,3531294.0,STATISTIKA,645.49,17.66,627.28,723.75,science
156,UNIVERSITAS GADJAH MADA,3611252.0,EKONOMI PERTANIAN DAN AGRIBISNIS,646.61,16.45,627.14,680.92,humanities
157,UNIVERSITAS SAM RATULANGI,7211015.0,PENDIDIKAN DOKTER,646.02,17.31,627.11,728.61,science
158,UNIVERSITAS NEGERI YOGYAKARTA,3621014.0,PENDIDIKAN MATEMATIKA,645.02,15.14,626.98,688.2,science
159,UNIVERSITAS PADJADJARAN,3331021.0,MATEMATIKA,652.67,19.21,626.86,702.93,science
160,UNIVERSITAS NEGERI JAKARTA,3231155.0,ILMU KOMPUTER,648.91,18.89,626.75,693.04,science
161,UNIVERSITAS CENDERAWASIH,9111126.0,PENDIDIKAN DOKTER,637.57,12.67,626.45,651.36,science
162,UNIVERSITAS AIRLANGGA,3811134.0,TEKNOBIOMEDIK,641.1,14.16,626.44,681.49,science
163,UNIVERSITAS AIRLANGGA,3811157.0,SISTEM INFORMASI,646.02,20.4,626.25,736.49,science
164,UNIVERSITAS BRAWIJAYA,3721093.0,ILMU DAN TEKNOLOGI PANGAN,645.23,17.04,626.18,693.7,science
165,UNIVERSITAS BRAWIJAYA,3721031.0,TEKNIK SIPIL,648.08,17.38,626.1,695.92,science
166,INSTITUT TEKNOLOGI BANDUNG,3321146.0,FAKULTAS TEKNOLOGI INDUSTRI (FTI) - KAMPUS JATINANGOR,662.02,29.58,626.04,723.53,science
167,UNIVERSITAS BENGKULU,1611194.0,PENDIDIKAN DOKTER,643.2,13.68,625.95,683.84,science
168,UNIVERSITAS SEBELAS MARET,3531093.0,TEKNIK INDUSTRI,645.64,16.05,625.76,697.86,science
169,UNIVERSITAS GADJAH MADA,3611035.0,GEOGRAFI LINGKUNGAN,641.35,16.56,625.37,685.28,science
170,UNIVERSITAS DIPONEGORO,3551244.0,TEKNIK LINGKUNGAN,644.12,15.51,625.1,701.01,science
171,UNIVERSITAS BRAWIJAYA,3721062.0,ARSITEKTUR,643.67,15.41,625.06,712.57,humanities
172,INSTITUT TEKNOLOGI SEPULUH NOPEMBER,3821191.0,TEKNIK SISTEM PERKAPALAN,646.44,18.28,624.95,714.08,science
173,UNIVERSITAS GADJAH MADA,3611101.0,KEDOKTERAN HEWAN,648.06,18.45,624.49,714.33,science
174,UNIVERSITAS PADJADJARAN,3331172.0,TEKNIK GEOLOGI,645.72,20.46,624.47,745.59,science
175,UNIVERSITAS DIPONEGORO,3551043.0,GIZI,642.09,16.7,624.2,719.3,science
176,INSTITUT TEKNOLOGI SEPULUH NOPEMBER,3821272.0,TEKNIK GEOFISIKA,643.2,16.08,624.1,680.39,science
177,INSTITUT TEKNOLOGI SEPULUH NOPEMBER,3821144.0,TEKNIK LINGKUNGAN,648.0,20.68,624.03,704.78,science
178,INSTITUT PERTANIAN BOGOR,3411346.0,MANAJEMEN,641.34,14.24,623.78,680.34,humanities
179,UNIVERSITAS HASANUDDIN,7111196.0,PENDIDIKAN DOKTER GIGI,643.72,19.55,623.74,719.63,science
180,UNIVERSITAS DIPONEGORO,3551341.0,FARMASI,646.72,18.21,623.68,693.49,science
181,UNIVERSITAS SEBELAS MARET,3531085.0,ARSITEKTUR,635.3,10.64,623.07,678.62,humanities
182,UNIVERSITAS BRAWIJAYA,3721054.0,TEKNIK ELEKTRO,640.26,19.69,623.05,769.24,science
183,UNIVERSITAS NEGERI YOGYAKARTA,3621397.0,STATISTIKA,637.96,13.35,622.97,663.92,science
184,INSTITUT TEKNOLOGI SEPULUH NOPEMBER,3821167.0,PERENCANAAN WILAYAH DAN KOTA,644.58,19.25,622.84,716.95,humanities
185,UNIVERSITAS DIPONEGORO,3551302.0,TEKNOLOGI PANGAN,640.88,14.95,622.84,686.8,science
186,UNIVERSITAS MALIKUSSALEH,1121113.0,PENDIDIKAN DOKTER,636.18,11.26,622.49,667.04,science
187,INSTITUT PERTANIAN BOGOR,3411033.0,ARSITEKTUR LANSEKAP,642.13,14.54,622.43,688.81,humanities
188,INSTITUT PERTANIAN BOGOR,3411122.0,KIMIA,643.41,19.11,622.15,702.26,science
189,UNIVERSITAS GADJAH MADA,3611074.0,ILMU KEPERAWATAN,639.24,11.7,621.74,665.79,science
190,UNIVERSITAS SRIWIJAYA,1711075.0,PENDIDIKAN DOKTER GIGI,636.56,12.48,621.57,681.44,science
191,UNIVERSITAS INDONESIA,3211151.0,ILMU KEPERAWATAN,637.92,15.62,621.33,699.72,science
192,UNIVERSITAS PADJADJARAN,3331195.0,GEOFISIKA,636.78,11.88,621.27,669.8,science
193,UNIVERSITAS NEGERI JAKARTA,3231074.0,KIMIA,636.58,11.0,620.96,671.22,science
194,UNIVERSITAS DIPONEGORO,3551051.0,MATEMATIKA,639.78,18.38,620.73,706.2,science
195,UNIVERSITAS BRAWIJAYA,3721375.0,TEKNIK KIMIA,636.49,16.24,620.71,691.34,science
196,UNIVERSITAS GADJAH MADA,3611445.0,TEKNIK PERTANIAN,638.95,14.65,620.7,680.86,science
197,INSTITUT TEKNOLOGI SEPULUH NOPEMBER,3821183.0,TEKNIK KELAUTAN,640.41,16.81,620.51,708.28,science
198,INSTITUT TEKNOLOGI SEPULUH NOPEMBER,3821024.0,MATEMATIKA,643.76,21.91,620.4,710.52,science
199,UNIVERSITAS PADJADJARAN,3331222.0,TEKNIK ELEKTRO,648.1,19.63,620.03,703.74,science
200,INSTITUT TEKNOLOGI SEPULUH NOPEMBER,3821047.0,KIMIA,635.54,14.97,619.59,675.36,science
201,INSTITUT PERTANIAN BOGOR,3411474.0,BISNIS,636.97,15.56,619.26,691.06,humanities
202,UNIVERSITAS GADJAH MADA,3611317.0,MIKROBIOLOGI PERTANIAN,632.33,11.0,619.26,657.98,science
203,UNIVERSITAS BRAWIJAYA,3721417.0,BIOTEKNOLOGI,641.97,17.18,618.87,687.93,science
204,INSTITUT TEKNOLOGI SEPULUH NOPEMBER,3821152.0,TEKNIK GEOMATIKA,632.72,16.33,618.6,716.42,science
205,UNIVERSITAS ANDALAS,1411184.0,FARMASI,639.65,15.84,618.53,687.02,science
206,UNIVERSITAS NEGERI YOGYAKARTA,3621447.0,TEKNOLOGI INFORMASI,638.6,17.73,618.51,677.7,science
207,UNIVERSITAS UDAYANA,6111181.0,FARMASI,633.36,14.15,618.3,669.08,science
208,UNIVERSITAS DIPONEGORO,3551221.0,PERENCANAAN WILAYAH DAN KOTA,636.73,16.22,618.25,704.93,humanities
209,UNIVERSITAS PENDIDIKAN INDONESIA,3341093.0,KIMIA,629.97,11.91,618.22,666.27,science
210,UNIVERSITAS DIPONEGORO,3551194.0,TEKNIK MESIN,641.71,16.68,618.21,688.54,science
211,UNIVERSITAS BRAWIJAYA,3721441.0,TEKNIK LINGKUNGAN,633.7,13.07,618.02,667.8,science
212,UNIVERSITAS SEBELAS MARET,3531166.0,PERENCANAAN WILAYAH DAN KOTA (PWK),633.35,14.14,618.0,666.7,humanities
213,UNIVERSITAS BRAWIJAYA,3721046.0,TEKNIK MESIN,631.88,12.74,617.7,682.42,science
214,UNIVERSITAS NEGERI YOGYAKARTA,3621103.0,MATEMATIKA,639.06,15.4,617.63,668.65,science
215,UNIVERSITAS BRAWIJAYA,3721232.0,GIZI KESEHATAN / ILMU GIZI,641.62,20.22,617.63,724.8,science
216,UNIVERSITAS DIPONEGORO,3551074.0,KIMIA,633.88,15.0,617.62,694.85,science
217,UNIVERSITAS BRAWIJAYA,3721127.0,KIMIA,629.73,12.58,617.48,694.26,science
218,UNIVERSITAS BRAWIJAYA,3721135.0,MATEMATIKA,636.24,19.87,617.14,696.65,science
219,UNIVERSITAS DIPONEGORO,3551012.0,KESEHATAN MASYARAKAT,637.31,18.15,617.12,746.29,science
220,UNIVERSITAS SEBELAS MARET,3531104.0,TEKNIK MESIN,635.07,16.7,616.73,694.58,science
221,INSTITUT TEKNOLOGI BANDUNG,3321162.0,SEK. ARSITEKTUR. PERENC & PENGEMB KEBIJAKAN (SAPPK) - KAMPUS CIREBON,639.96,18.72,616.56,685.9,humanities
222,UNIVERSITAS SEBELAS MARET,3531143.0,KIMIA,631.44,12.5,616.25,667.18,science
223,UNIVERSITAS NUSA CENDANA,6311233.0,PENDIDIKAN DOKTER,640.2,18.96,616.12,686.26,science
224,UNIVERSITAS SEBELAS MARET,3531062.0,ILMU DAN TEKNOLOGI PANGAN,628.75,12.46,616.0,665.06,science
225,INSTITUT TEKNOLOGI SEPULUH NOPEMBER,3821055.0,BIOLOGI,631.48,14.23,615.84,677.79,science
226,UNIVERSITAS NEGERI YOGYAKARTA,3621126.0,KIMIA,628.56,11.28,615.75,655.62,science
227,UNIVERSITAS AIRLANGGA,3811173.0,ILMU GIZI,638.3,19.38,615.58,702.54,science
228,UPN VETERAN YOGYAKARTA,3631016,TEKNIK GEOLOGI,632.87,16.99,615.41,696.5,science
229,UNIVERSITAS PENDIDIKAN INDONESIA,3341062.0,MATEMATIKA,629.68,13.42,615.34,685.22,science
230,INSTITUT PERTANIAN BOGOR,3411265.0,TEKNOLOGI INDUSTRI PERTANIAN,635.34,14.13,615.28,673.72,science
231,UNIVERSITAS NEGERI JAKARTA,3231163.0,STATISTIKA,629.04,10.96,615.22,655.19,science
232,UNIVERSITAS DIPONEGORO,3551275.0,TEKNIK GEODESI,629.23,10.89,615.11,661.92,science
233,INSTITUT PERTANIAN BOGOR,3411331.0,EKONOMI PEMBANGUNAN,636.29,14.59,615.1,672.88,humanities
234,UNIVERSITAS NEGERI YOGYAKARTA,3621037.0,PENDIDIKAN KIMIA,627.85,13.07,615.04,668.78,science
235,UNIVERSITAS PENDIDIKAN INDONESIA,3341216.0,ARSITEKTUR,628.41,12.7,614.99,656.18,humanities
236,UNIVERSITAS DIPONEGORO,3551283.0,TEKNIK KOMPUTER,631.31,14.91,614.89,696.25,science
237,INSTITUT PERTANIAN BOGOR,3411435.0,METEOROLOGI TERAPAN,635.37,14.26,614.73,672.35,science
238,UNIVERSITAS JENDERAL SOEDIRMAN,3511227.0,ILMU GIZI,631.64,16.2,614.44,690.94,science
239,UNIVERSITAS SUMATERA UTARA,1211077.0,PENDIDIKAN DOKTER GIGI,633.94,14.35,614.38,675.32,science
240,UNIVERSITAS SYIAH KUALA,1111181.0,PENDIDIKAN DOKTER GIGI,625.39,9.55,614.36,641.04,science
241,UNIVERSITAS AIRLANGGA,3811165.0,STATISTIKA,633.03,18.09,614.11,703.44,science
242,UNIVERSITAS JENDERAL SOEDIRMAN,3511204.0,TEKNIK INFORMATIKA,632.26,15.43,613.9,674.31,science
243,UNIVERSITAS AIRLANGGA,3811053.0,MATEMATIKA,634.98,19.99,613.85,692.07,science
244,INSTITUT PERTANIAN BOGOR,3411056.0,BIOLOGI,626.39,12.04,613.82,671.2,science
245,UNIVERSITAS PADJADJARAN,3331044.0,FISIKA,631.65,15.3,613.76,692.29,science
246,UPN VETERAN YOGYAKARTA,3631024,TEKNIK PERTAMBANGAN,636.41,19.42,613.45,706.22,science
247,UNIVERSITAS PADJADJARAN,3331052.0,BIOLOGI,632.57,15.76,613.31,674.99,science
248,UNIVERSITAS SEBELAS MARET,3531216.0,PENDIDIKAN MATEMATIKA,633.16,17.07,613.28,697.1,science
249,UNIVERSITAS PENDIDIKAN INDONESIA,3341104.0,ILMU KOMPUTER,628.75,11.52,613.17,656.28,science
250,UNIVERSITAS DIPONEGORO,3551356.0,BIOTEKNOLOGI,629.85,13.11,612.92,668.07,science
251,UNIVERSITAS JENDERAL SOEDIRMAN,3511096.0,TEKNIK SIPIL,627.9,12.42,612.49,664.31,science
252,UNIVERSITAS ISLAM NEGERI JAKARTA,3221095.0,FARMASI,626.36,10.48,612.44,651.96,science
253,UNIVERSITAS SEBELAS MARET,3531286.0,TEKNIK ELEKTRO,627.95,14.7,612.32,674.88,science
254,INSTITUT TEKNOLOGI SEPULUH NOPEMBER,3821322.0,DESAIN KOMUNIKASI VISUAL,631.14,14.4,611.86,661.87,humanities
255,UNIVERSITAS GADJAH MADA,3611244.0,ILMU TANAH,634.33,19.76,611.86,701.92,science
256,INSTITUT TEKNOLOGI SEPULUH NOPEMBER,3821233.0,TEKNIK TRANSPORTASI LAUT,624.98,15.6,611.73,667.4,science
257,UPN VETERAN YOGYAKARTA,3631086,TEKNIK INFORMATIKA,629.08,15.04,611.6,702.85,science
258,UNIVERSITAS ISLAM NEGERI SUNAN KALIJAGA,3651052.0,TEKNIK INFORMATIKA,628.57,17.11,611.51,681.69,science
259,UNIVERSITAS SEBELAS MARET,3531127.0,MATEMATIKA,631.23,20.35,611.29,704.86,science
260,UNIVERSITAS PALANGKARAYA,5211224.0,PENDIDIKAN DOKTER,623.13,11.86,611.27,660.56,science
261,UNIVERSITAS NEGERI SEMARANG,3561215.0,TEKNIK INFORMATIKA,627.1,14.49,611.21,668.49,science
262,UNIVERSITAS BRAWIJAYA,3721197.0,PERENCANAAN WILAYAH & KOTA,625.25,11.7,610.89,677.43,science
263,UNIVERSITAS JEMBER,3711187.0,FARMASI,634.76,21.5,610.73,740.42,science
264,UNIVERSITAS ANDALAS,1411153.0,TEKNIK INDUSTRI,632.62,16.76,610.73,680.73,science
265,INSTITUT PERTANIAN BOGOR,3411114.0,KEDOKTERAN HEWAN,636.91,24.96,610.72,752.22,science
266,UNIVERSITAS AIRLANGGA,3811092.0,KESEHATAN MASYARAKAT,630.77,15.63,610.67,680.57,science
267,UNIVERSITAS GADJAH MADA,3611221.0,AGRONOMI,626.65,16.85,610.6,676.66,science
268,UNIVERSITAS NEGERI JAKARTA,3231051.0,MATEMATIKA,629.41,24.73,610.45,711.95,science
269,UNIVERSITAS ANDALAS,1411211.0,SISTEM INFORMASI,631.52,16.86,610.35,671.35,science
270,UNIVERSITAS DIPONEGORO,3551267.0,TEKNIK GEOLOGI,624.11,11.45,610.07,671.73,science
271,UPN VETERAN JAKARTA,3241045,INFORMATIKA,626.91,15.08,609.82,689.7,science
272,UNIVERSITAS BRAWIJAYA,3721352.0,TEKNIK KOMPUTER,624.45,12.01,609.16,664.6,science
273,UNIVERSITAS HALUOLEO,7511212.0,PENDIDIKAN DOKTER,628.49,15.23,608.95,662.27,science
274,UNIVERSITAS GADJAH MADA,3611476.0,HIGIENE GIGI,623.33,16.01,608.76,657.94,science
275,UNIVERSITAS SEBELAS MARET,3531151.0,BIOLOGI,625.56,14.23,608.75,656.82,science
276,UNIVERSITAS NEGERI SEMARANG,3561262.0,FARMASI,626.18,14.52,608.7,651.77,science
277,UNIVERSITAS GADJAH MADA,3611484.0,KEHUTANAN,628.55,15.99,608.64,693.77,science
278,INSTITUT TEKNOLOGI SEPULUH NOPEMBER,3821175.0,TEKNIK PERKAPALAN,634.62,19.88,608.55,699.05,science
279,UNIVERSITAS GADJAH MADA,3611291.0,TEKNOLOGI HASIL PERIKANAN,623.49,16.2,608.51,675.73,science
280,INSTITUT TEKNOLOGI BANDUNG,3321177.0,FAK. TEKNIK PERTAMB. & PERMINYAKAN (FTTM) - KAMPUS CIREBON,633.09,16.8,608.42,668.84,science
281,INSTITUT PERTANIAN BOGOR,3411064.0,EKONOMI SUMBERDAYA DAN LINGKUNGAN,621.3,13.34,608.38,653.16,science
282,UNIVERSITAS DIPONEGORO,3551066.0,BIOLOGI,625.67,16.22,608.27,684.12,science
283,UNIVERSITAS GADJAH MADA,3611302.0,MANAJEMEN SUMBERDAYA AKUATIK (MANAJEMEN SUMBER DAYA PERIKANAN),624.61,14.11,607.94,652.68,science
284,INSTITUT TEKNOLOGI SEPULUH NOPEMBER,3821016.0,FISIKA,624.08,15.64,607.8,692.55,science
285,UNIVERSITAS PADJADJARAN,3331083.0,AGRIBISNIS,626.73,18.62,607.42,693.3,humanities
286,UNIVERSITAS DIPONEGORO,3551252.0,TEKNIK PERKAPALAN,621.59,11.87,607.31,658.24,science
287,UNIVERSITAS ISLAM NEGERI ALAUDDIN,7131162.0,PENDIDIKAN DOKTER,625.08,13.27,607.23,657.33,science
288,UNIVERSITAS GADJAH MADA,3611283.0,AKUAKULTUR (BUDIDAYA PERIKANAN),624.99,15.27,606.65,669.19,science
289,UNIVERSITAS NEGERI SEMARANG,3561207.0,TEKNIK SIPIL,618.91,11.32,606.59,653.37,science
290,UNIVERSITAS BRAWIJAYA,3721391.0,TEKNIK GEOFISIKA,617.39,10.09,606.38,641.2,science
291,UNIVERSITAS PADJADJARAN,3331125.0,ILMU KEPERAWATAN,628.7,24.76,606.36,726.73,science
292,UPN VETERAN YOGYAKARTA,3631063,TEKNIK KIMIA,622.96,13.2,606.28,662.86,science
293,UNIVERSITAS DIPONEGORO,3551082.0,FISIKA,620.26,11.51,606.13,651.09,science
294,UNIVERSITAS MULAWARMAN,5411323.0,KEDOKTERAN GIGI,616.31,7.48,606.02,630.53,science
295,INSTITUT PERTANIAN BOGOR,3411017.0,AGRIBISNIS,630.64,20.82,606.02,682.16,humanities
296,UNIVERSITAS AIRLANGGA,3811084.0,KIMIA,630.38,16.85,605.9,676.45,science
297,UPN VETERAN YOGYAKARTA,3631055,TEKNIK GEOFISIKA,614.66,7.13,605.58,631.84,science
298,UNIVERSITAS JENDERAL SOEDIRMAN,3511185.0,ILMU DAN TEKNOLOGI PANGAN,619.12,13.07,605.26,666.12,science
299,UNIVERSITAS GADJAH MADA,3611267.0,PROTEKSI TANAMAN (ILMU HAMA DAN PENYAKIT TUMBUHAN),622.36,15.18,605.26,664.7,science
300,UNIVERSITAS BRAWIJAYA,3721487.0,TEKNOLOGI INFORMASI,623.07,16.3,605.14,676.66,science
301,UNIVERSITAS PENDIDIKAN INDONESIA,3341085.0,BIOLOGI,621.82,16.64,605.07,657.52,science
302,UNIVERSITAS ISLAM NEGERI JAKARTA,3221033.0,SISTEM INFORMASI,624.3,17.44,605.02,676.58,science
303,UNIVERSITAS JENDERAL SOEDIRMAN,3511034.0,MATEMATIKA,622.09,18.03,604.85,705.28,science
304,UNIVERSITAS AIRLANGGA,3811142.0,ILMU DAN TEKNOLOGI LINGKUNGAN,623.44,14.66,604.74,664.14,science
305,UNIVERSITAS AIRLANGGA,3811126.0,PENDIDIKAN BIDAN,620.23,14.33,604.56,659.23,science
306,UNIVERSITAS BRAWIJAYA,3721077.0,TEKNIK PENGAIRAN,619.36,9.42,604.27,644.7,science
307,INSTITUT PERTANIAN BOGOR,3411362.0,EKONOMI SYARIAH,622.47,20.72,604.2,704.42,humanities
308,UPN VETERAN YOGYAKARTA,3631071,TEKNIK INDUSTRI,619.94,12.79,604.11,661.89,science
309,UNIVERSITAS NEGERI SEMARANG,3561181.0,TEKNIK KIMIA,618.15,12.86,603.99,677.42,science
310,UNIVERSITAS PENDIDIKAN INDONESIA,3341015.0,PENDIDIKAN MATEMATIKA,623.57,18.04,603.84,698.32,science
311,UNIVERSITAS SEBELAS MARET,3531135.0,FISIKA,615.57,9.01,603.55,647.21,science
312,UPN VETERAN JAKARTA,3241037,TEKNIK INDUSTRI,621.43,14.33,603.5,655.21,science
313,UPN VETERAN JAKARTA,3241111,FARMASI,619.05,14.18,603.47,656.16,science
314,UNIVERSITAS PENDIDIKAN INDONESIA,3341174.0,TEKNIK ELEKTRO,613.5,8.79,603.19,639.07,science
315,UNIVERSITAS ANDALAS,1411145.0,TEKNIK SIPIL,626.59,19.17,603.09,702.29,science
316,UNIVERSITAS ANDALAS,1411161.0,TEKNIK LINGKUNGAN,615.16,9.82,603.06,639.25,science
317,INSTITUT TEKNOLOGI SEPULUH NOPEMBER,3821241.0,TEK. SIST PERKAPALAN (GLR GANDA ITS-JERMAN),635.64,27.84,602.56,700.77,science
318,UNIVERSITAS BRAWIJAYA,3721104.0,BIOLOGI,620.76,16.53,602.53,688.13,science
319,UNIVERSITAS NEGERI MALANG,3731211.0,TEKNIK INFORMATIKA,617.85,10.6,602.45,640.96,science
